_id,geometry,locality,placeName,placeNameId
5b418dfb3d88413b6ca9e049,"{""type"": ""MultiPoint"", ""coordinates"": [[172.558952797721, -43.51096861718799]]}",Avonhead,Merrin Primary School,595
5b418dfb3d88413b6ca9e04f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.724018374724, -43.5082071281543]]}",New Brighton,Central New Brighton School,602
5b418dfb3d88413b6ca9e024,"{""type"": ""MultiPoint"", ""coordinates"": [[172.513360784788, -43.5547169740297]]}",Hornby,Shands Reserve,552
5b418dfb3d88413b6ca9e035,"{""type"": ""MultiPoint"", ""coordinates"": [[172.61987226323097, -43.547715674819]]}",Spreydon,Allison Courts,574
5b418dfb3d88413b6ca9e045,"{""type"": ""MultiPoint"", ""coordinates"": [[172.715492423061, -43.5623157653168]]}",St Andrews Hill,Mt Pleasant Primary School,590
5b418dfb3d88413b6ca9e05b,"{""type"": ""MultiPoint"", ""coordinates"": [[172.63016912905, -43.51366029423339]]}",St Albans,Abberley Park,615
5b418dfb3d88413b6ca9dfee,"{""type"": ""MultiPoint"", ""coordinates"": [[172.57200944649497, -43.5087148132621]]}",Ilam,Westburn Reserve,487
5b418dfb3d88413b6ca9e00d,"{""type"": ""MultiPoint"", ""coordinates"": [[172.569946981838, -43.5905864671269]]}",Halswell,Halswell School,524
5b418dfb3d88413b6ca9e013,"{""type"": ""MultiPoint"", ""coordinates"": [[172.62509000250398, -43.5655245548534]]}",Spreydon,Cashmere High School,531
5b418dfb3d88413b6ca9e020,"{""type"": ""MultiPoint"", ""coordinates"": [[172.641274412593, -43.528053979326494]]}",Central City,Elsie Locke Park,547
5b418dfb3d88413b6ca9e02b,"{""type"": ""MultiPoint"", ""coordinates"": [[172.67223827109, -43.5051406487145]]}",Shirley,Burwood Park,562
5b418dfb3d88413b6ca9e03e,"{""type"": ""MultiPoint"", ""coordinates"": [[172.705760681062, -43.5037552056966]]}",Avondale,Calbourne Courts,584
5b418dfb3d88413b6ca9e04d,"{""type"": ""MultiPoint"", ""coordinates"": [[172.61783747534, -43.5685217419671]]}",Spreydon,Cashmere View Rest Home and Hospital ,600
5b418dfb3d88413b6ca9e059,"{""type"": ""MultiPoint"", ""coordinates"": [[172.61974336853797, -43.4879089947464]]}",Redwood,Papanui Primary School,613
5b418dfb3d88413b6ca9e065,"{""type"": ""MultiPoint"", ""coordinates"": [[172.558544590545, -43.5178009110186]]}",Avonhead,Brigadoon Reserve,627
5b418dfb3d88413b6ca9dffc,"{""type"": ""MultiPoint"", ""coordinates"": [[172.616049478471, -43.5097401670084]]}",Merivale,Heaton Intermediate School,504
5b418dfb3d88413b6ca9e002,"{""type"": ""MultiPoint"", ""coordinates"": [[172.733385213606, -43.5279003873891]]}",South New Brighton,South New Brighton Park,512
5b418dfb3d88413b6ca9e011,"{""type"": ""MultiPoint"", ""coordinates"": [[172.630322248099, -43.516466226517295]]}",St Albans,Pickering Courts,53
5b418dfb3d88413b6ca9e019,"{""type"": ""MultiPoint"", ""coordinates"": [[172.617789591376, -43.5763751798283]]}",Hoon Hay Valley,Holmcroft Reserve,539
5b418dfb3d88413b6ca9e029,"{""type"": ""MultiPoint"", ""coordinates"": [[172.691906141272, -43.5384944980332]]}",Bromley,Bromley Old School Reserve,56
